Name,hp,attack,defense,sp_attack,sp_defense,speed
Caterpie,45,30,35,20,20,45
Metapod,50,20,55,25,25,30
Butterfree,60,45,50,90,80,70
Weedle,40,35,30,20,20,50
Kakuna,45,25,50,25,25,35
Beedrill,65,90,40,45,80,75
Paras,35,70,55,45,55,25
Parasect,60,95,80,60,80,30
Venonat,60,55,50,40,55,45
Venomoth,70,65,60,90,75,90
Scyther,70,110,80,55,80,105
Pinsir,65,125,100,55,70,85
Ledyba,40,20,30,40,80,55
Ledian,55,35,50,55,110,85
Spinarak,40,60,40,40,40,30
Ariados,70,90,70,60,60,40
Yanma,65,65,45,75,45,95
Pineco,50,65,90,35,35,15
Forretress,75,90,140,60,60,40
Scizor,70,130,100,55,80,65
Shuckle,20,10,230,10,230,5
Heracross,80,125,75,40,95,85
Wurmple,45,45,35,20,30,20
Silcoon,50,35,55,25,25,15
Beautifly,60,70,50,100,50,65
Cascoon,50,35,55,25,25,15
Dustox,60,50,70,50,90,65
Surskit,40,30,32,50,52,65
Masquerain,70,60,62,80,82,60
Nincada,31,45,90,30,30,40
Ninjask,61,90,45,50,50,160
Shedinja,1,90,45,30,30,40
Volbeat,65,73,55,47,75,85
Illumise,65,47,55,73,75,85
Kricketot,37,25,41,25,41,25
Kricketune,77,85,51,55,51,65
Burmy,40,29,45,29,45,36
Wormadam,60,59,85,79,105,36
Mothim,70,94,50,94,50,66
Combee,30,30,42,30,42,70
Vespiquen,70,80,102,80,102,40
Yanmega,86,76,86,116,56,95
Sewaddle,45,53,70,40,60,42
Swadloon,55,63,90,50,80,42
Leavanny,75,103,80,70,80,92
Venipede,30,45,59,30,39,57
Whirlipede,40,55,99,40,79,47
Scolipede,60,100,89,55,69,112
Dwebble,50,65,85,35,35,55
Crustle,70,95,125,65,75,45
Karrablast,50,75,45,40,45,60
Escavalier,70,135,105,60,105,20
Joltik,50,47,50,57,50,65
Galvantula,70,77,60,97,60,108
Shelmet,50,40,85,40,65,25
Accelgor,80,70,40,100,60,145
Durant,58,109,112,48,48,109
Larvesta,55,85,55,50,55,60
Volcarona,85,60,65,135,105,100
Genesect,71,120,95,120,95,99
Scatterbug,38,35,40,27,25,35
Spewpa,45,22,60,27,30,29
Vivillon,80,52,50,90,50,89
