Name,hp,attack,defense,sp_attack,sp_defense,speed
Umbreon,95,65,110,60,130,65
Murkrow,60,85,42,85,42,91
Sneasel,55,95,55,35,75,115
Houndour,45,60,30,80,50,65
Houndoom,75,90,50,110,80,95
Poochyena,35,55,35,30,30,35
Mightyena,70,90,70,60,60,70
Sableye,50,75,75,65,65,50
Absol,65,130,60,75,60,75
Honchkrow,100,125,52,105,52,71
Weavile,70,120,65,45,85,125
Darkrai,70,90,90,135,90,125
Purrloin,41,50,37,50,37,66
Liepard,64,88,50,88,50,106
Scraggy,50,75,70,35,70,48
Scrafty,65,90,115,45,115,58
Zorua,40,65,40,80,40,65
Zoroark,60,105,60,120,60,105
Pawniard,45,85,70,40,40,60
Bisharp,65,125,100,60,70,70
Vullaby,70,55,75,45,65,60
Mandibuzz,110,65,105,55,95,80
Deino,52,65,50,45,50,38
Zweilous,72,85,70,65,70,58
Hydreigon,92,105,90,125,90,98
Inkay,53,54,53,37,46,45
Malamar,86,92,88,68,75,73
Yveltal,126,131,95,131,98,99
