Name,hp,attack,defense,sp_attack,sp_defense,speed
Dratini,41,64,45,50,50,50
Dragonair,61,84,65,70,70,70
Dragonite,91,134,95,100,100,80
Altaria,75,70,90,70,105,80
Bagon,45,75,60,40,30,50
Shelgon,65,95,100,60,50,50
Salamence,95,135,80,110,80,100
Latias,80,80,90,110,130,110
Latios,80,90,80,130,110,110
Rayquaza,105,150,90,150,90,95
Gible,58,70,45,40,45,42
Gabite,68,90,65,50,55,82
Garchomp,108,130,95,80,85,102
Axew,46,87,60,30,40,57
Fraxure,66,117,70,40,50,67
Haxorus,76,147,90,60,70,97
Druddigon,77,120,90,60,90,48
Reshiram,100,120,100,150,120,90
Zekrom,100,150,120,120,100,90
Kyurem,125,130,90,130,90,95
Goomy,45,50,35,55,75,40
Sliggoo,68,75,53,83,113,60
Goodra,90,100,70,110,150,80
Zygarde,108,100,121,81,95,95
