Name,hp,attack,defense,sp_attack,sp_defense,speed
Clefairy,70,45,48,60,65,35
Clefable,95,70,73,95,90,60
Cleffa,50,25,28,45,55,15
Togepi,35,20,65,40,65,20
Togetic,55,40,85,80,105,40
Snubbull,60,80,50,40,40,30
Granbull,90,120,75,60,60,45
Togekiss,85,50,95,120,115,80
Flabébé,44,38,39,61,79,42
Floette,54,45,47,75,98,52
Florges,78,65,68,112,154,75
Spritzee,78,52,60,63,65,23
Aromatisse,101,72,72,99,89,29
Swirlix,62,48,66,59,57,49
Slurpuff,82,80,86,85,75,72
Sylveon,95,65,65,110,130,60
Xerneas,126,131,95,131,98,99
