Name,hp,attack,defense,sp_attack,sp_defense,speed
Mankey,40,80,35,35,45,70
Primeape,65,105,60,60,70,95
Machop,70,80,50,35,35,35
Machoke,80,100,70,50,60,45
Machamp,90,130,80,65,85,55
Hitmonlee,50,120,53,35,110,87
Hitmonchan,50,105,79,35,110,76
Tyrogue,35,35,35,35,35,35
Hitmontop,50,95,95,35,110,70
Makuhita,72,60,30,20,30,25
Hariyama,144,120,60,40,60,50
Meditite,30,40,55,40,55,60
Medicham,60,60,75,60,75,80
Riolu,40,70,40,35,40,60
Lucario,70,110,70,115,70,90
Timburr,75,80,55,25,35,35
Gurdurr,85,105,85,40,50,40
Conkeldurr,105,140,95,55,65,45
Throh,120,100,85,30,85,45
Sawk,75,125,75,30,75,85
Mienfoo,45,85,50,55,50,65
Mienshao,65,125,60,95,60,105
Pancham,67,82,62,46,48,43
Pangoro,95,124,78,69,71,58
Hawlucha,78,92,75,74,63,118
