Name,hp,attack,defense,sp_attack,sp_defense,speed
Charmander,39,52,43,60,50,65
Charmeleon,58,64,58,80,65,80
Charizard,78,84,78,109,85,100
Vulpix,38,41,40,50,65,65
Ninetales,73,76,75,81,100,100
Growlithe,55,70,45,70,50,60
Arcanine,90,110,80,100,80,95
Ponyta,50,85,55,65,65,90
Rapidash,65,100,70,80,80,105
Magmar,65,95,57,100,85,93
Flareon,65,130,60,95,110,65
Moltres,90,100,90,125,85,90
Cyndaquil,39,52,43,60,50,65
Quilava,58,64,58,80,65,80
Typhlosion,78,84,78,109,85,100
Slugma,40,40,40,70,40,20
Magcargo,50,50,120,80,80,30
Magby,45,75,37,70,55,83
Entei,115,115,85,90,75,100
Ho-Oh,106,130,90,110,154,90
Torchic,45,60,40,70,50,45
Combusken,60,85,60,85,60,55
Blaziken,80,120,70,110,70,80
Numel,60,60,40,65,45,35
Camerupt,70,100,70,105,75,40
Torkoal,70,85,140,85,70,20
Chimchar,44,58,44,58,44,61
Monferno,64,78,52,78,52,81
Infernape,76,104,71,104,71,108
Magmortar,75,95,67,125,95,83
Heatran,91,90,106,130,106,77
Tepig,65,63,45,45,45,45
Pignite,90,93,55,70,55,55
Emboar,110,123,65,100,65,65
Pansear,50,53,48,53,48,64
Simisear,75,98,63,98,63,101
Darumaka,70,90,45,15,45,50
Darmanitan,105,140,55,30,55,95
Heatmor,85,97,66,105,66,65
Fennekin,40,45,40,62,60,60
Braixen,59,59,58,90,70,73
Delphox,75,69,72,114,100,104
Fletchinder,62,73,55,56,52,84
Talonflame,78,81,71,74,69,126
Litleo,62,50,58,73,54,72
Pyroar,86,68,72,109,66,106
Volcanion,80,110,120,130,90,70
