Name,hp,attack,defense,sp_attack,sp_defense,speed
Charizard,78,84,78,109,85,100
Butterfree,60,45,50,90,80,70
Pidgey,40,45,40,35,35,56
Pidgeotto,63,60,55,50,50,71
Pidgeot,83,80,75,70,70,101
Spearow,40,60,30,31,31,70
Fearow,65,90,65,61,61,100
Zubat,40,45,35,30,40,55
Golbat,75,80,70,65,75,90
Farfetch'd,52,65,55,58,62,60
Doduo,35,85,45,35,35,75
Dodrio,60,110,70,60,60,100
Scyther,70,110,80,55,80,105
Gyarados,95,125,79,60,100,81
Aerodactyl,80,105,65,60,75,130
Articuno,90,85,100,95,125,85
Zapdos,90,90,85,125,90,100
Moltres,90,100,90,125,85,90
Dragonite,91,134,95,100,100,80
Hoothoot,60,30,30,36,56,50
Noctowl,100,50,50,76,96,70
Ledyba,40,20,30,40,80,55
Ledian,55,35,50,55,110,85
Crobat,85,90,80,70,80,130
Togetic,55,40,85,80,105,40
Natu,40,50,45,70,45,70
Xatu,65,75,70,95,70,95
Hoppip,35,35,40,35,55,50
Skiploom,55,45,50,45,65,80
Jumpluff,75,55,70,55,95,110
Yanma,65,65,45,75,45,95
Murkrow,60,85,42,85,42,91
Gligar,65,75,105,35,65,85
Delibird,45,55,45,65,45,75
Mantine,65,40,70,80,140,70
Skarmory,65,80,140,40,70,70
Lugia,106,90,130,90,154,110
Ho-Oh,106,130,90,110,154,90
Beautifly,60,70,50,100,50,65
Taillow,40,55,30,30,30,85
Swellow,60,85,60,50,50,125
Wingull,40,30,30,55,30,85
Pelipper,60,50,100,85,70,65
Masquerain,70,60,62,80,82,60
Ninjask,61,90,45,50,50,160
Swablu,45,40,60,40,75,50
Altaria,75,70,90,70,105,80
Tropius,99,68,83,72,87,51
Salamence,95,135,80,110,80,100
Rayquaza,105,150,90,150,90,95
Starly,40,55,30,30,30,60
Staravia,55,75,50,40,40,80
Staraptor,85,120,70,50,60,100
Mothim,70,94,50,94,50,66
Combee,30,30,42,30,42,70
Vespiquen,70,80,102,80,102,40
Drifloon,90,50,34,60,44,70
Drifblim,150,80,44,90,54,80
Honchkrow,100,125,52,105,52,71
Chatot,76,65,45,92,42,91
Mantyke,45,20,50,60,120,50
Togekiss,85,50,95,120,115,80
Yanmega,86,76,86,116,56,95
Gliscor,75,95,125,45,75,95
Pidove,50,55,50,36,30,43
Tranquill,62,77,62,50,42,65
Unfezant,80,115,80,65,55,93
Woobat,55,45,43,55,43,72
Swoobat,67,57,55,77,55,114
Sigilyph,72,58,80,103,80,97
Archen,55,112,45,74,45,70
Archeops,75,140,65,112,65,110
Ducklett,62,44,50,44,50,55
Swanna,75,87,63,87,63,98
Emolga,55,75,60,75,60,103
Rufflet,70,83,50,37,50,60
Braviary,100,123,75,57,75,80
Vullaby,70,55,75,45,65,60
Mandibuzz,110,65,105,55,95,80
Thundurus,79,115,70,125,80,111
Landorus,89,125,90,115,80,101
Fletchling,45,50,43,40,38,62
Fletchinder,62,73,55,56,52,84
Talonflame,78,81,71,74,69,126
Vivillon,80,52,50,90,50,89
Hawlucha,78,92,75,74,63,118
Yveltal,126,131,95,131,98,99
