Name,hp,attack,defense,sp_attack,sp_defense,speed
Gastly,30,35,30,100,35,80
Haunter,45,50,45,115,55,95
Gengar,60,65,60,130,75,110
Misdreavus,60,60,60,85,85,85
Shuppet,44,75,35,63,33,45
Banette,64,115,65,83,63,65
Duskull,20,40,90,30,90,25
Dusclops,40,70,130,60,130,25
Drifloon,90,50,34,60,44,70
Drifblim,150,80,44,90,54,80
Mismagius,60,60,60,105,105,105
Spiritomb,50,92,108,92,108,35
Dusknoir,45,100,135,65,135,45
Giratina,150,120,100,120,100,90
Yamask,38,30,85,55,65,30
Cofagrigus,58,50,145,95,105,30
Litwick,50,30,55,65,55,20
Lampent,60,40,60,95,60,55
Chandelure,60,55,90,145,90,80
Phantump,43,70,48,50,60,38
Trevenant,85,110,76,65,82,56
Pumpkaboo,49,66,70,44,55,51
Gourgeist,65,90,122,58,75,84
