Name,hp,attack,defense,sp_attack,sp_defense,speed
Bulbasaur,45,49,49,65,65,45
Ivysaur,60,62,63,80,80,60
Venusaur,80,82,83,100,100,80
Oddish,45,50,55,75,65,30
Gloom,60,65,70,85,75,40
Vileplume,75,80,85,110,90,50
Bellsprout,50,75,35,70,30,40
Weepinbell,65,90,50,85,45,55
Victreebel,80,105,65,100,70,70
Exeggcute,60,40,80,60,45,40
Exeggutor,95,95,85,125,65,55
Tangela,65,55,115,100,40,60
Chikorita,45,49,65,49,65,45
Bayleef,60,62,80,63,80,60
Meganium,80,82,100,83,100,80
Bellossom,75,80,95,90,100,50
Hoppip,35,35,40,35,55,50
Skiploom,55,45,50,45,65,80
Jumpluff,75,55,70,55,95,110
Sunkern,30,30,30,30,30,30
Sunflora,75,75,55,105,85,30
Treecko,40,45,35,65,55,70
Grovyle,50,65,45,85,65,95
Sceptile,70,85,65,105,85,120
Seedot,40,40,50,30,30,30
Nuzleaf,70,70,40,60,40,60
Shiftry,90,100,60,90,60,80
Shroomish,60,40,60,40,60,35
Breloom,60,130,80,60,60,70
Roselia,50,60,45,100,80,65
Cacnea,50,85,40,85,40,35
Cacturne,70,115,60,115,60,55
Tropius,99,68,83,72,87,51
Turtwig,55,68,64,45,55,31
Grotle,75,89,85,55,65,36
Torterra,95,109,105,75,85,56
Budew,40,30,35,50,70,55
Roserade,60,70,65,125,105,90
Cherubi,45,35,45,62,53,35
Cherrim,70,60,70,87,78,85
Carnivine,74,100,72,90,72,46
Snover,60,62,50,62,60,40
Abomasnow,90,92,75,92,85,60
Tangrowth,100,100,125,110,50,50
Leafeon,65,110,130,60,65,95
Shaymin,100,100,100,100,100,100
Snivy,45,45,55,45,55,63
Servine,60,60,75,60,75,83
Serperior,75,75,95,75,95,113
Pansage,50,53,48,53,48,64
Simisage,75,98,63,98,63,101
Cottonee,40,27,60,37,50,66
Whimsicott,60,67,85,77,75,116
Petilil,45,35,50,70,50,30
Lilligant,70,60,75,110,75,90
Maractus,75,86,67,106,67,60
Foongus,69,55,45,55,55,15
Amoonguss,114,85,70,85,80,30
Ferroseed,44,50,91,24,86,10
Ferrothorn,74,94,131,54,116,20
Virizion,91,90,72,90,129,108
Chespin,56,61,65,48,45,38
Quilladin,61,78,95,56,58,57
Chesnaught,88,107,122,74,75,64
Skiddo,66,65,48,62,57,52
Gogoat,123,100,62,97,81,68
