Name,hp,attack,defense,sp_attack,sp_defense,speed
Articuno,90,85,100,95,125,85
Zapdos,90,90,85,125,90,100
Moltres,90,100,90,125,85,90
Mewtwo,106,110,90,154,90,130
Raikou,90,85,75,115,100,115
Entei,115,115,85,90,75,100
Suicune,100,75,115,90,115,85
Lugia,106,90,130,90,154,110
Ho-Oh,106,130,90,110,154,90
Regirock,80,100,200,50,100,50
Regice,80,50,100,100,200,50
Registeel,80,75,150,75,150,50
Latias,80,80,90,110,130,110
Latios,80,90,80,130,110,110
Kyogre,100,100,90,150,140,90
Groudon,100,150,140,100,90,90
Rayquaza,105,150,90,150,90,95
Jirachi,100,100,100,100,100,100
Deoxys,50,150,50,150,50,150
Uxie,75,75,130,75,130,95
Mesprit,80,105,105,105,105,80
Azelf,75,125,70,125,70,115
Dialga,100,120,120,150,100,90
Palkia,90,120,100,150,120,100
Heatran,91,90,106,130,106,77
Regigigas,110,160,110,80,110,100
Giratina,150,120,100,120,100,90
Darkrai,70,90,90,135,90,125
Shaymin,100,100,100,100,100,100
Arceus,120,120,120,120,120,120
Victini,100,100,100,100,100,100
Cobalion,91,90,129,90,72,108
Terrakion,91,129,90,72,90,108
Virizion,91,90,72,90,129,108
Tornadus,79,115,70,125,80,111
Thundurus,79,115,70,125,80,111
Reshiram,100,120,100,150,120,90
Zekrom,100,150,120,120,100,90
Landorus,89,125,90,115,80,101
Kyurem,125,130,90,130,90,95
Xerneas,126,131,95,131,98,99
Yveltal,126,131,95,131,98,99
Zygarde,108,100,121,81,95,95
Diancie,50,100,150,100,150,50
Hoopa,80,110,60,150,130,70
Volcanion,80,110,120,130,90,70
