Name,hp,attack,defense,sp_attack,sp_defense,speed
Ekans,35,60,44,40,54,55
Arbok,60,85,69,65,79,80
Nidoran♀,55,47,52,40,40,41
Nidorina,70,62,67,55,55,56
Nidoqueen,90,92,87,75,85,76
Nidoran♂,46,57,40,40,40,50
Nidorino,61,72,57,55,55,65
Nidoking,81,102,77,85,75,85
Zubat,40,45,35,30,40,55
Golbat,75,80,70,65,75,90
Grimer,80,80,50,40,50,25
Muk,105,105,75,65,100,50
Koffing,40,65,95,60,45,35
Weezing,65,90,120,85,70,60
Crobat,85,90,80,70,80,130
Gulpin,70,43,53,43,53,40
Swalot,100,73,83,73,83,55
Seviper,73,100,60,100,60,65
Stunky,63,63,47,41,41,74
Skuntank,103,93,67,71,61,84
Skorupi,40,50,90,30,55,65
Drapion,70,90,110,60,75,95
Croagunk,48,61,40,61,40,50
Toxicroak,83,106,65,86,65,85
Trubbish,50,50,62,40,62,65
Garbodor,80,95,82,60,82,75
Skrelp,50,60,60,60,60,30
Dragalge,65,75,90,97,123,44
