Name,hp,attack,defense,sp_attack,sp_defense,speed
Abra,25,20,15,105,55,90
Kadabra,40,35,30,120,70,105
Alakazam,55,50,45,135,95,120
Drowzee,60,48,45,43,90,42
Hypno,85,73,70,73,115,67
Mr._Mime,40,45,65,100,120,90
Mewtwo,106,110,90,154,90,130
Mew,100,100,100,100,100,100
Natu,40,50,45,70,45,70
Xatu,65,75,70,95,70,95
Espeon,65,65,60,130,95,110
Unown,48,72,48,72,48,48
Wobbuffet,190,33,58,33,58,33
Lugia,106,90,130,90,154,110
Celebi,100,100,100,100,100,100
Ralts,28,25,25,45,35,40
Kirlia,38,35,35,65,55,50
Gardevoir,68,65,65,125,115,80
Spoink,60,25,35,70,80,60
Grumpig,80,45,65,90,110,80
Chimecho,65,50,70,95,80,65
Wynaut,95,23,48,23,48,23
Deoxys,50,150,50,150,50,150
Chingling,45,30,50,65,50,45
Mime_Jr.,20,25,45,70,90,60
Gallade,68,125,65,65,115,80
Uxie,75,75,130,75,130,95
Mesprit,80,105,105,105,105,80
Azelf,75,125,70,125,70,115
Cresselia,120,70,120,75,130,85
Victini,100,100,100,100,100,100
Munna,76,25,45,67,55,24
Musharna,116,55,85,107,95,29
Woobat,55,45,43,55,43,72
Swoobat,67,57,55,77,55,114
Sigilyph,72,58,80,103,80,97
Gothita,45,30,50,55,65,45
Gothorita,60,45,70,75,85,55
Gothitelle,70,55,95,95,110,65
Solosis,45,30,40,105,50,20
Duosion,65,40,50,125,60,30
Reuniclus,110,65,75,125,85,30
Elgyem,55,55,55,85,55,30
Beheeyem,75,75,75,125,95,40
Espurr,62,48,54,63,60,68
Meowstic,74,48,76,83,81,104
Hoopa,80,110,60,150,130,70
