Name,hp,attack,defense,sp_attack,sp_defense,speed
Geodude,40,80,100,30,30,20
Graveler,55,95,115,45,45,35
Golem,80,120,130,55,65,45
Onix,35,45,160,30,45,70
Omanyte,35,40,100,90,55,35
Omastar,70,60,125,115,70,55
Kabuto,30,80,90,55,45,55
Kabutops,60,115,105,65,70,80
Aerodactyl,80,105,65,60,75,130
Sudowoodo,70,100,115,30,65,30
Larvitar,50,64,50,45,50,41
Pupitar,70,84,70,65,70,51
Tyranitar,100,134,110,95,100,61
Nosepass,30,45,135,45,90,30
Lunatone,70,55,65,95,85,70
Solrock,70,95,85,55,65,70
Lileep,66,41,77,61,87,23
Cradily,86,81,97,81,107,43
Anorith,45,95,50,40,50,75
Armaldo,75,125,100,70,80,45
Regirock,80,100,200,50,100,50
Cranidos,67,125,40,30,30,58
Rampardos,97,165,60,65,50,58
Shieldon,30,42,118,42,88,30
Bastiodon,60,52,168,47,138,30
Bonsly,50,80,95,10,45,10
Probopass,60,55,145,75,150,40
Roggenrola,55,75,85,25,25,15
Boldore,70,105,105,50,40,20
Gigalith,85,135,130,60,80,25
Archen,55,112,45,74,45,70
Archeops,75,140,65,112,65,110
Terrakion,91,129,90,72,90,108
Binacle,42,52,67,39,56,50
Barbaracle,72,105,115,54,86,68
Tyrunt,58,89,77,45,45,48
Tyrantrum,82,121,119,69,59,71
Amaura,77,59,50,67,63,46
Aurorus,123,77,72,99,92,58
Carbink,50,50,150,50,150,50
Diancie,50,100,150,100,150,50
