Name,hp,attack,defense,sp_attack,sp_defense,speed
Steelix,75,85,200,55,65,30
Skarmory,65,80,140,40,70,70
Mawile,50,85,85,55,55,50
Aron,50,70,100,40,40,30
Lairon,60,90,140,50,50,40
Aggron,70,110,180,60,60,50
Beldum,40,55,80,35,60,30
Metang,60,75,100,55,80,50
Metagross,80,135,130,95,90,70
Registeel,80,75,150,75,150,50
Jirachi,100,100,100,100,100,100
Bronzor,57,24,86,24,86,23
Bronzong,67,89,116,79,116,33
Dialga,100,120,120,150,100,90
Klink,40,55,70,45,60,30
Klang,60,80,95,70,85,50
Klinklang,60,100,115,70,85,90
Cobalion,91,90,129,90,72,108
Honedge,45,80,100,35,37,28
Doublade,59,110,150,45,49,35
Aegislash,60,50,150,50,150,60
Klefki,57,80,91,80,87,75
