Name,hp,attack,defense,sp_attack,sp_defense,speed
Squirtle,44,48,65,50,64,43
Wartortle,59,63,80,65,80,58
Blastoise,79,83,100,85,105,78
Psyduck,50,52,48,65,50,55
Golduck,80,82,78,95,80,85
Poliwag,40,50,40,40,40,90
Poliwhirl,65,65,65,50,50,90
Poliwrath,90,95,95,70,90,70
Tentacool,40,40,35,50,100,70
Tentacruel,80,70,65,80,120,100
Slowpoke,90,65,65,40,40,15
Slowbro,95,75,110,100,80,30
Seel,65,45,55,45,70,45
Dewgong,90,70,80,70,95,70
Shellder,30,65,100,45,25,40
Cloyster,50,95,180,85,45,70
Krabby,30,105,90,25,25,50
Kingler,55,130,115,50,50,75
Horsea,30,40,70,70,25,60
Seadra,55,65,95,95,45,85
Goldeen,45,67,60,35,50,63
Seaking,80,92,65,65,80,68
Staryu,30,45,55,70,55,85
Starmie,60,75,85,100,85,115
Magikarp,20,10,55,15,20,80
Gyarados,95,125,79,60,100,81
Lapras,130,85,80,85,95,60
Vaporeon,130,65,60,110,95,65
Totodile,50,65,64,44,48,43
Croconaw,65,80,80,59,63,58
Feraligatr,85,105,100,79,83,78
Chinchou,75,38,38,56,56,67
Lanturn,125,58,58,76,76,67
Marill,70,20,50,20,50,40
Azumarill,100,50,80,60,80,50
Politoed,90,75,75,90,100,70
Wooper,55,45,45,25,25,15
Quagsire,95,85,85,65,65,35
Slowking,95,75,80,100,110,30
Qwilfish,65,95,75,55,55,85
Corsola,55,55,85,65,85,35
Remoraid,35,65,35,65,35,65
Octillery,75,105,75,105,75,45
Mantine,65,40,70,80,140,70
Kingdra,75,95,95,95,95,85
Suicune,100,75,115,90,115,85
Mudkip,50,70,50,50,50,40
Marshtomp,70,85,70,60,70,50
Swampert,100,110,90,85,90,60
Lotad,40,30,30,40,50,30
Lombre,60,50,50,60,70,50
Ludicolo,80,70,70,90,100,70
Wingull,40,30,30,55,30,85
Pelipper,60,50,100,85,70,65
Carvanha,45,90,20,65,20,65
Sharpedo,70,120,40,95,40,95
Wailmer,130,70,35,70,35,60
Wailord,170,90,45,90,45,60
Barboach,50,48,43,46,41,60
Whiscash,110,78,73,76,71,60
Corphish,43,80,65,50,35,35
Crawdaunt,63,120,85,90,55,55
Feebas,20,15,20,10,55,80
Milotic,95,60,79,100,125,81
Clamperl,35,64,85,74,55,32
Huntail,55,104,105,94,75,52
Gorebyss,55,84,105,114,75,52
Relicanth,100,90,130,45,65,55
Luvdisc,43,30,55,40,65,97
Kyogre,100,100,90,150,140,90
Piplup,53,51,53,61,56,40
Prinplup,64,66,68,81,76,50
Empoleon,84,86,88,111,101,60
Buizel,55,65,35,60,30,85
Floatzel,85,105,55,85,50,115
Shellos,76,48,48,57,62,34
Gastrodon,111,83,68,92,82,39
Finneon,49,49,56,49,61,66
Lumineon,69,69,76,69,86,91
Mantyke,45,20,50,60,120,50
Palkia,90,120,100,150,120,100
Phione,80,80,80,80,80,80
Manaphy,100,100,100,100,100,100
Oshawott,55,55,45,63,45,45
Dewott,75,75,60,83,60,60
Samurott,95,100,85,108,70,70
Panpour,50,53,48,53,48,64
Simipour,75,98,63,98,63,101
Tympole,50,50,40,50,40,64
Palpitoad,75,65,55,65,55,69
Seismitoad,105,95,75,85,75,74
Basculin,70,92,65,80,55,98
Tirtouga,54,78,103,53,45,22
Carracosta,74,108,133,83,65,32
Ducklett,62,44,50,44,50,55
Swanna,75,87,63,87,63,98
Frillish,55,40,50,65,85,40
Jellicent,100,60,70,85,105,60
Alomomola,165,75,80,40,45,65
Keldeo,91,72,90,129,90,108
Froakie,41,56,40,62,44,71
Frogadier,54,63,52,83,56,97
Greninja,72,95,67,103,71,122
Clauncher,50,53,62,58,63,44
Clawitzer,71,73,88,120,89,59
